,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}"
best_classifier_training_time,1.2854212920008194
best_classifier_inference_time,0.20543382499954532
best_classifier_recall,0.07368421052631578
best_classifier_precision,0.015849056603773583
best_classifier_f1,0.026086956521739126
best_classifier_TN,130911
best_classifier_FP,1304
best_classifier_FN,264
best_classifier_TP,21
best_classifier_auc,0.8551883130281552
best_classifier_p_auc_10,0.6110143216812735
best_classifier_p_auc_20,0.6805494093404335
best_classifier_p_auc_30,0.7320493388554499
training_time_avg,1.1925783111999408
inference_time_avg,0.1998204047999934
auc_avg,0.8554405019469218
auc_std,0.00030889079098691174
p_auc_10_avg,0.610856963054629
p_auc_10_std,0.00019275903616642622
p_auc_20_avg,0.680565936853841
p_auc_20_std,2.026345324910018e-05
p_auc_30_avg,0.7325114813293194
p_auc_30_std,0.0005660275818796858
recall_avg,0.07368421052631578
recall_std,0.0
